,countrycode,institution_count
0,ABW,14
1,AFG,241
2,AGO,167
3,ALB,167
4,AND,10
5,ARE,244
6,ARG,1040
7,ARM,488
8,ATF,28
9,AUS,832
10,AUT,567
11,AZE,420
12,BDI,38
13,BEL,1117
14,BEN,123
15,BFA,180
16,BGD,625
17,BGR,721
18,BHR,77
19,BHS,10
20,BIH,162
21,BLR,599
22,BLZ,45
23,BOL,373
24,BRA,7073
25,BRB,12
26,BRN,21
27,BTN,13
28,BWA,75
29,CAF,37
30,CAN,1924
31,CHE,307
32,CHL,681
33,CHN,11159
34,CIV,502
35,CMR,271
36,COD,455
37,COG,18
38,COL,2276
39,COM,4
40,CPV,29
41,CRI,381
42,CUB,537
43,CUW,11
44,CYP,237
45,CZE,427
46,DEU,3975
47,DJI,3
48,DNK,524
49,DOM,298
50,DZA,720
51,ECU,477
52,EGY,404
53,ERI,35
54,ESP,1405
55,EST,117
56,ETH,323
57,FIN,505
58,FJI,69
59,FRA,5022
60,FRO,12
61,GAB,117
62,GBR,3597
63,GEO,365
64,GHA,489
65,GIN,174
66,GMB,5
67,GNB,43
68,GNQ,6
69,GRC,404
70,GRD,22
71,GTM,238
72,GUY,23
73,HKG,133
74,HND,140
75,HRV,178
76,HTI,157
77,HUN,718
78,IDN,6513
79,IND,5306
80,IRL,551
81,IRN,1693
82,IRQ,558
83,ISL,108
84,ISR,651
85,ITA,1074
86,JAM,81
87,JOR,183
88,JPN,8606
89,KAZ,929
90,KEN,398
91,KGZ,259
92,KHM,391
93,KNA,7
94,KOR,2566
95,KWT,75
96,LAO,38
97,LBN,345
98,LBR,57
99,LBY,119
100,LIE,24
101,LKA,220
102,LSO,18
103,LTU,243
104,LUX,15
105,LVA,265
106,MAR,923
107,MCO,11
108,MDA,202
109,MDG,349
110,MDV,35
111,MEX,5920
112,MKD,80
113,MLI,59
114,MLT,30
115,MMR,658
116,MNE,33
117,MNG,351
118,MOZ,156
119,MRT,33
120,MUS,49
121,MWI,131
122,MYS,508
123,NAM,24
124,NER,81
125,NGA,763
126,NIC,343
127,NLD,746
128,NOR,537
129,NPL,58
130,NZL,332
131,OMN,273
132,PAK,988
133,PAN,181
134,PER,1006
135,PHL,9095
136,PNG,64
137,POL,2786
138,PRK,855
139,PRT,798
140,PRY,324
141,PSE,222
142,PYF,7
143,QAT,18
144,ROU,1066
145,RUS,8683
146,RWA,95
147,SAU,340
148,SDN,474
149,SEN,343
150,SGP,105
151,SLB,19
152,SLE,42
153,SLV,240
154,SMR,8
155,SOM,151
156,SRB,113
157,SSD,28
158,STP,5
159,SUR,16
160,SVK,303
161,SVN,168
162,SWE,664
163,SWZ,42
164,SYC,3
165,SYR,120
166,TCD,68
167,TGO,102
168,THA,1330
169,TJK,204
170,TKM,139
171,TLS,7
172,TON,10
173,TTO,68
174,TUN,224
175,TUR,1220
176,TWN,1510
177,TZA,260
178,UGA,205
179,UKR,3308
180,URY,151
181,USA,20206
182,UZB,647
183,VAT,272
184,VEN,750
185,VNM,1188
186,WSM,17
187,YEM,73
188,ZAF,620
189,ZMB,164
190,ZWE,86
